user_id,customer_segment,journey_path,touchpoints,converted,revenue,final_state,first_touch,last_touch,journey_end
USR_000001,warm,organic_search > DROP_OFF,2,0,0.0,DROP_OFF,organic_search,DROP_OFF,2025-12-04 21:00:00
USR_000002,warm,google_display > DROP_OFF,2,0,0.0,DROP_OFF,google_display,DROP_OFF,2025-09-06 12:00:00
USR_000003,cold,meta_awareness > email_nurture > CONVERSION,3,1,77.62,CONVERSION,meta_awareness,email_nurture,2025-02-23 02:00:00
USR_000004,warm,organic_search > DROP_OFF,2,0,0.0,DROP_OFF,organic_search,DROP_OFF,2025-04-19 20:00:00
USR_000005,cold,organic_search > meta_awareness > meta_conversion > whatsapp_trigger > meta_conversion > DROP_OFF,6,0,0.0,DROP_OFF,organic_search,DROP_OFF,2025-04-23 09:00:00
USR_000006,cold,meta_awareness > email_nurture > CONVERSION,3,1,91.65,CONVERSION,meta_awareness,email_nurture,2025-04-17 20:00:00
USR_000007,warm,google_display > meta_conversion > whatsapp_trigger > CONVERSION,4,1,291.27,CONVERSION,google_display,whatsapp_trigger,2025-05-22 15:00:00
USR_000008,cold,google_search > email_nurture > whatsapp_trigger > CONVERSION,4,1,107.38,CONVERSION,google_search,whatsapp_trigger,2025-07-23 14:00:00
USR_000009,cold,meta_awareness > DROP_OFF,2,0,0.0,DROP_OFF,meta_awareness,DROP_OFF,2025-10-15 01:00:00
USR_000010,cold,google_display > DROP_OFF,2,0,0.0,DROP_OFF,google_display,DROP_OFF,2025-01-09 02:00:00
USR_000011,cold,google_search > CONVERSION,2,1,119.79,CONVERSION,google_search,google_search,2025-05-27 11:00:00
USR_000012,cold,google_display > google_search > email_nurture > DROP_OFF,4,0,0.0,DROP_OFF,google_display,DROP_OFF,2025-07-05 17:00:00
USR_000013,hot,meta_awareness > meta_conversion > CONVERSION,3,1,1682.4,CONVERSION,meta_awareness,meta_conversion,2025-05-24 10:00:00
USR_000014,hot,meta_awareness > email_nurture > meta_conversion > email_nurture > CONVERSION,5,1,1815.57,CONVERSION,meta_awareness,email_nurture,2025-03-03 08:00:00
USR_000015,cold,google_search > meta_conversion > whatsapp_trigger > CONVERSION,4,1,112.58,CONVERSION,google_search,whatsapp_trigger,2025-11-23 22:00:00
USR_000016,cold,google_search > whatsapp_trigger > meta_conversion > CONVERSION,4,1,128.04,CONVERSION,google_search,meta_conversion,2025-08-16 19:00:00
USR_000017,cold,google_search > meta_conversion > whatsapp_trigger > CONVERSION,4,1,104.69,CONVERSION,google_search,whatsapp_trigger,2025-11-10 09:00:00
USR_000018,cold,organic_search > email_nurture > meta_conversion > whatsapp_trigger > CONVERSION,5,1,60.2,CONVERSION,organic_search,whatsapp_trigger,2025-03-27 12:00:00
USR_000019,warm,google_display > google_search > whatsapp_trigger > meta_conversion > email_nurture > whatsapp_trigger > meta_conversion > CONVERSION,8,1,479.31,CONVERSION,google_display,meta_conversion,2025-03-29 02:00:00
